213        Isotope List   
     Name    A   Z 
  237    1 LI  6 ( 1 H   2, 1 NE  1)  1 BE  7 +   3.382 MEV
  238    1 LI  6 ( 1 H   2, 1 H   1)  1 LI  7 +   5.026 MEV
  239    1 LI  7 ( 1 H   1, 1 H   2)  1 LI  6 +  -5.026 MEV
  240    1 LI  7 ( 1 H   2, 1 H   1)  1 LI  8 +  -0.191 MEV
  241    1 LI  7 ( 1 H   3, 1 NE  1)  1 BE  9 +  10.438 MEV
  242    1 LI  7 ( 1 H   3, 1 H   2)  1 LI  8 +  -4.225 MEV
  243    1 LI  8 ( 1 H   1, 1 H   2)  1 LI  7 +   0.191 MEV
  244    1 LI  8 ( 1 H   2, 1 NE  1)  1 BE  9 +  14.662 MEV
  245    1 LI  8 ( 1 H   2, 1 H   3)  1 LI  7 +   4.225 MEV
  246    1 BE  7 ( 1 NE  1, 1 H   2)  1 LI  6 +  -3.382 MEV
  247    1 BE  9 ( 1 NE  1, 1 H   2)  1 LI  8 + -14.662 MEV
  248    1 BE  9 ( 1 NE  1, 1 H   3)  1 LI  7 + -10.438 MEV
  249    1 BE  9 ( 1 H   3, 1 NE  1)  1 B  11 +   9.559 MEV
  250    1 B  11 ( 1 NE  1, 1 H   3)  1 BE  9 +  -9.559 MEV
  251    2 C  12 ( 0      , 1 NE  1)  1 MG 23 +  -2.598 MEV
  252    2 C  12 ( 0      , 1 H   1)  1 NA 23 +   2.242 MEV
  253    2 C  12 ( 0      , 1 HE  4)  1 NE 20 +   4.621 MEV
  254    1 C  13 ( 1 H   2, 1 NE  1)  1 N  14 +   5.327 MEV
  255    1 C  14 ( 1 H   2, 1 NE  1)  1 N  15 +   7.983 MEV
  256    1 N  14 ( 1 NE  1, 1 H   2)  1 C  13 +  -5.327 MEV
  257    1 N  15 ( 1 NE  1, 1 H   2)  1 C  14 +  -7.983 MEV
  258    1 O  16 ( 1 C  12, 1 NE  1)  1 SI 27 +  -0.423 MEV
  259    1 O  16 ( 1 C  12, 1 H   1)  1 AL 27 +   5.171 MEV
  260    1 O  16 ( 1 C  12, 1 HE  4)  1 MG 24 +   6.771 MEV
  261    2 O  16 ( 0      , 1 NE  1)  1 S  31 +   1.500 MEV
  262    2 O  16 ( 0      , 1 H   1)  1 P  31 +   7.678 MEV
  263    2 O  16 ( 0      , 1 HE  4)  1 SI 28 +   9.593 MEV
  264    1 NE 20 ( 1 HE  4, 0      )  2 C  12 +  -4.621 MEV
  265    1 NE 20 ( 1 C  12, 1 NE  1)  1 S  31 +   3.928 MEV
  266    1 NE 20 ( 1 C  12, 1 H   1)  1 P  31 +  10.104 MEV
  267    1 NE 20 ( 1 C  12, 1 HE  4)  1 SI 28 +  12.021 MEV
  268    1 NA 23 ( 1 H   1, 0      )  2 C  12 +  -2.242 MEV
  269    1 MG 23 ( 1 NE  1, 0      )  2 C  12 +   2.598 MEV
  270    1 MG 24 ( 1 HE  4, 1 C  12)  1 O  16 +  -6.771 MEV
  271    1 AL 27 ( 1 H   1, 1 C  12)  1 O  16 +  -5.171 MEV
  272    1 SI 27 ( 1 NE  1, 1 C  12)  1 O  16 +   0.423 MEV
  273    1 SI 28 ( 1 HE  4, 1 C  12)  1 NE 20 + -12.021 MEV
  274    1 SI 28 ( 1 HE  4, 0      )  2 O  16 +  -9.593 MEV
